Actual,Message,Predicted
Bullish,b'$TSLA $350 Nov17!',None
None,b'$TSLA $FB Tesla and Facebook Nail It Again in Out-Innovating Their Peers http://www.smarteranalyst.com/2017/04/21/tesla-inc-tsla-facebook-inc-fb-nail-innovating-peers/',Bullish
Bullish,b'$TSLA Sold yesterday# looking to buy back on a dip',None
None,b'$SPY today is an expiry day. Chop chop for the theta and then it moves probably $SPY $GOOGL $AAPL $AMZN $FB $TSLA',None
None,b'$TSLA Killing all the puts order that was placed yesterday.',None
Bearish,b'$TSLA it feels as people are afraid to sell because they might receive an angry tweet from Elon Musk - its s a joke right! relax',None
Bullish,b'$TSLA 1% a day means 200% a year.....ILL TAKE IT!',Bearish
None,b'$TSLA #Tesla to Recall 53#000 #ModelS and #ModelX -https://goo.gl/0T5PVr',Bearish
None,b'$TSLA $SPY $FB as usual I&#39;m right and this guy thought he was soooooooo smart',None
None,b'$TSLA Wow! This might test yesterday&#39;s high',None
Bullish,b'$TSLA There&#39;s hundreds of companies shorts can short# but picking Tesla is asking to be to destroyed',Bearish
Bullish,b'$TSLA Great job Bears your gonna get squeezed to $310...',Bullish
Bullish,b'$TSLA LMFAOOO at the bears yesterday omg ??',None
None,b'$TSLA u were right about that bear trap ???????????????????????????????',None
Bullish,b'$TSLA If 5 minute bull candle can close above 305.69# (which was the opening of big 5 minute bear candle yesterday)# then a very good move.',Bullish
Bullish,b'$TSLA MOOOOOO',None
None,b'$TSLA Wow.. this thing just aint slowing up huh? Damn.. I don&#39;t know what to think about this stock anymore haha. To risky for me right now.',Bearish
Bullish,b'$TSLA woooooooo',None
None,b'$TSLA anyone able to sleep while putting your car on self drive? I find it extremely difficult for me. ?',None
Bearish,b'$TSLA in the 4/28 $302.50 puts here',None
None,b'$TSLA highs',None
None,b'$TSLA Thanks Elon again for the weekly lotto calls minting money ?',None
None,b'$TSLA https://twitter.com/danshep55/status/855443156766261248',None
None,b'$TSLA  moves and behaves like a chinese penny stock...',None
None,b'$GM and $TSLA battle for China http://www.insidermonkey.com/blog/general-motors-company-gm-planning-on-challenging-tesla-inc-tsla-in-china-576145/',Bearish
Bullish,b'$TSLA told ya you&#39;d regret selling...',None
None,b'$TSLA I think I bought too much too fast early morning that scared the bears? I hope not. Not done buying yet.',None
Bullish,b'$TSLA let&#39;s get it',None
None,b'$TSLA I can see this pop being that recall thing happens to very car. Just saying it didn&#39;t sell hard off that news yesterday',Bearish
Bullish,b'$TSLA FANG Starting to rise with this Telsa rises',None
None,b'$TSLA Just another GoPro',None
Bullish,b'$TSLA nice work Tesla and $NVDA',None
Bullish,b'$TSLA',None
Bullish,b'$TSLA shorts I feel bad for you# this company will be worth a trillion dollars someday. Economies of scale# disruptive technology# CEO God',Bearish
None,b'$TSLA nice bull break over $304.50 high of yesterday bounce attempt after the dump. https://www.tradingview.com/x/8PCUdUw8/',Bearish
Bullish,b'$TSLA Achieved Yesterday&#39;s Opening. @ 305.50 Ride Her Back Over $307ish',Bullish
Bullish,b'$TSLA $TSLA looking good ... what do i do with all the $ that i was going to invest if the $ came down?',Bullish
Bullish,b'$TSLA Who voted for these clowns?  Do you understand that there&#39;s nothing going on upstairs?  LOOK AT HIS FACE!',None
Bullish,b'$TSLA ?????? we go',None
Bullish,b'$TSLA NOT SELLING A SINGLE SHARE UNTIL 2040. 20 years in here will make me one happy camper# I&#39;ll have a Tesla RV &amp; Boat by then.',Bullish
Bullish,b'$TSLA bull flag still live',None
None,b'$AMZN a lot of sellers on Amazon can&#39;t let it get to $900 moving on to $AAPL and $TSLA',None
None,b'$TSLA give me 306.25',None
None,b'$TSLA day high!',None
Bullish,b'$TSLA starting with 1/4th of market capture to get your feet wet than go balls deep. Long haul tesla semis 100% 2025 full force',Bearish
Bearish,b'$TSLA More labor disputes in hastily put together innovation. Lemons Musk.',None
Bullish,b'$TSLA the Tesla semi will probably be starting with short haul trips anyways under 250 miles which is about 25% of all trucking transport',None
None,b'$TSLA give me 30499',None
Bullish,b'$TSLA 305 is the key',None
Bullish,b'$TSLA only company to disrupt the world!',Bearish
None,b'$TSLA Gap fill to 307??',None
Bullish,b'$TSLA 305-305.5 is major resistance for now. But if it can break that --&gt; 307',Bearish
Bullish,b'$TSLA told you shorts to cover or dieeeee. That 300 was too strong. If it didnt die yesterday it wont die today. Even green against red $SPY',None
None,b'$TSLA closer to 305 than 300 just saying',None
Bearish,b'$TSLA this is crazy',None
Bullish,b'$TSLA Needs to break and hold 305. Else...it may go down again.',Bearish
Bullish,b'$TSLA https://electrek.co/2017/04/21/tesla-store-service-center-supercharger-ireland/',None
Bearish,b'$TSLA Spikes when the Nasdaq spikes and flat as the Nasdaq falls.  Broken af',Bearish
Bullish,b'$TSLA that was a snap covering!! Lmao',None
Bullish,b'$TSLA Let&#39;s get to 309!',None
None,b'$TSLA 304.50&#39;s big level . Got rejected 2x . Needs to build over',Bearish
Bullish,b'$TSLA told y&#39;all you can&#39;t stop it',None
Bullish,b'$TSLA boom',Bullish
None,b'$TSLA ??',None
Bullish,b'$TSLA Shorts are done# let 310 lets go!',None
Bullish,b'$TSLA Ignition (!)',None
None,b'$TSLA I don&#39;t see a lot of Tesla stores closing bears# do you?',Bearish
None,b'$TSLA need to smash 304.50',None
None,b'Tesla to Open First Store in Ireland Next Week $TSLA http://dlvr.it/NxrG12',None
Bullish,b'$TSLA 306!',None
None,b'$TSLA would not fight it over 303.80',None
None,b'$TSLA inside day',None
Bullish,b'$TSLA it&#39;s gonna Rip em a gnu juan',None
Bullish,b'$TSLA need to break 305 this run',Bearish
Bearish,b'$TSLA adding to 305 weekly puts here # bank it',None
Bullish,b'$TSLA woops i meant (!)',None
None,b'$TSLA let&#39;s get that percent gain today',Bullish
None,b'$googl $tsla $amzn $ulta $pcln $ibb all these and many many more holding at the top this is going to be the father of all corrections $spy',Bearish
Bearish,b'$TSLA 305 and beyond (!)',None
Bullish,b'$TSLA I wouldn&#39;t complain at all if we see a $400 print this year. Even if it&#39;s in December.',Bearish
None,b'$TSLA maturity 04/28/2017 Vol PutCallRatio of 0.86 puts=5#639 calls=6#565 . http://bit.ly/2oxtKVj',None
Bullish,b'$TSLA when people talk negative this stock goes up. When people talk pos it goes down lol',Bearish
Bullish,b'$TSLA Boom!!!   Tesla a must own stock: http://www.nasdaq.com/article/tesla-proves-once-again-that-it-is-a-mustown-stock-cm777053',Bullish
None,b'$TSLA The 295 strike weekly puts I sold yesterday? Dust in the wind.....',None
None,b'$TSLA',None
None,b'$TSLA stock price is marking up too much.',None
None,b'$TSLA today&#39;s 300 puts are only 0.17',None
None,b'$TSLA when u have so many &quot;shorts&quot; on this board that doesn&#39;t know what trading means that can only mean one thing',None
Bearish,b'$TSLA bulls using 100% of capital to keep this green # after lunch is dead # dead# dead $302.50 or $300 close',None
None,b'$TSLA up $SPY down signals &#39;risk off&#39; meaning smart money is short Tesla and long S&amp;P500',None
None,b'$TSLA setting up nicely  might have resist at 305',None
Bearish,b'$TSLA I want to see this tank at the same speed that it rallies up lol',None
Bullish,b'$TSLA when everyone&#39;s trying to copy Tesla# you know this company will be the next Apple',None
None,b'$TSLA Very likely closing at 307',Bearish
Bullish,b'$TSLA anyone see the new and improved Tesla app info available? Pretty fancy!',Bullish
Bullish,b'$TSLA any here read the letter Musk wrote to the German employees? He made a VERY good &amp; convincing point. Interested in seeing the response',Bullish
Bearish,b'$TSLA Literally bs.  Did you know Tesla is a component of the Nasdaq? Odd Tesla would rally while Nasdaq knifes. This is unreal',None
Bullish,b'$TSLA opening store in irl next week',None
None,b'$AMD except $TSLA but that is powered by unicorn farts',None
Bullish,b'$TSLA every car companies trying to do an electric car yet none of them have supercharging stations# Tesla will dominate the market',None
None,b'@Jason91789 like this one ? $TSLA matrix http://www.wavestock.com/tesla/matrix.html',None
None,b'$TSLA brakes recall doesn&#39;t work for this stock you need a computer malfunction ?',Bearish
None,b'$TSLA Using Tesla&#39;s repeating stock pattern to trade options http://bit.ly/CMLviz_TSLA',None
None,b'Bellwether $GE Revenue -1%?\nProxy for the economy??\n\n$djt $oil $djia $spx $spy $compq $amzn $amat $mu $amd $txn $tsla $gs $c $amex $boa',None
None,b'$TSLA   Nice intro to Neurolink and Musk on Fox news. Thumbs up.',None
Bullish,b'$TSLA $305 eod.',None
Bullish,b'$TSLA musk don&#39;t care about the money# he just wants electric cars.',None
None,b'$TSLA release the Krakken ?',None
Bullish,b'$TSLA Look at 1 month chart  &amp; 6 month chart &amp; even all time chart. Think you want to wait for when to buy?!',None
Bearish,b'$TSLA just keep selling into it',None
Bearish,b'$TSLA next shoe to drop here is the model 3 delay announcement.  just a matter of when.',Bearish
Bearish,b'$TSLA Short TP 288',None
None,b'$TSLA#Tesla #MobileApp to Control Your Powerwall -https://goo.gl/MFYSyV',None
None,b'$TSLA NO STRIKE IN GERMANY NEXT WEEK.',None
Bearish,b'$TSLA Buying at this levels when the company will lose more money again this year even if the Model 3 ships in September is just...idk',Bearish
None,b'@Clanky $TSLA has a recall and the price is unfazed.  You can&#39;t stop this thing. I&#39;ve wanted to short it for months now# glad I didn&#39;t',Bearish
None,b'$TSLA 3 analyst updates. 3 lowered prices.. 3/3 COWEN @ 155.00  (half off)',None
None,b'$TSLA 294 to 304 neutral zone',None
Bullish,b'$TSLA Don&#39;t talk too much about this &amp; that# just buy  the stock.!',None
Bullish,b'$TSLA.. Taxis around the world will be going EV to.clean air and.reduce CO2 Solar is  now cheapest form of energy',None
Bullish,b'$TSLA all the BS about strike in Germany.  NO STRIKE#',None
None,b'$TSLA  $302.50 or $300 close today # its 1 or the 2 # which one you think ?',None
Bullish,b'$TSLA at this point next year will this be double? Probably!',None
None,b'$TSLA #Tesla Finally Responded to Grohmann Engineering Workers - https://goo.gl/xs5ljr',None
None,b'WANNA SEE &quot;THE PROMISE&quot;  $SPX $VIX $GLD $EUR $USD $WTI $BAC $F $TSLA $MSFT $MS $GS $WFC $BABA $XOM #Business #Trading #Finance #Wallstreet',None
Bullish,b'$TSLA someone said on here no support over $300. I want what that guy I smoking this weekend. Not during market hours tho.',None
Bullish,b'$TSLA A 1/2 hour close on higher volume# above 305.1 would be good# (1/2 of yesterday&#39;s large bear candle - open and close).',Bullish
None,b'$TSLA if musk does not deliver then fate of &quot;VRX&quot; awaits',None
None,b'&quot;THE PROMISE&quot; $AAPL $AMZN $FB $NFLX $TSLA $GM $BABA $GOOG $AAPL $QQQ $DWT $UWT $NUGT WANNA SEE &quot;THE PROMISE&quot;',None
Bullish,b'$TSLA Let&#39;s go!',None
None,b'$TSLA has absolutely the highest potential for upside of any large tech company.  $NFLX $AMZN $MBLY $FB',Bullish
Bullish,b'$TSLA The whole $TSLA FLEET (will be) = 1 MASSIVE seeing# feeling# reat-time communicating BRAIN',None
Bearish,b'$TSLA going red in next 30 minutes # get your puts loaded fellas !!',None
None,b'Master Plan# Part Deux | Tesla\n$TSLA If you&#39;re in this and havent read the master plan# ur doing urself a disservice https://www.tesla.com/blog/master-plan-part-deux',None
None,b'$TSLA The most enjoyable thing about the shorts is the bear traps ... watching TSLA go down every morning and  rebound after they dive in',Bullish
None,b'$AMZN $AAPL $NFLX $TSLA $SPY What an uneventful day so far.',None
Bearish,b'$TSLA Why Tesla\x92s Cars Cost 50% More in China\nhttp://www.barrons.com/articles/why-teslas-cars-cost-50-more-in-china-1492193073',None
Bullish,b'$TSLA Go $TSLA!kill the bears!',None
None,b'$TSLA I&#39;m also not shorting Tesla at the moment so I am hoping it goes up now!  Too busy losing thousands with $RAD at the moment',Bearish
Bullish,b'@Imperex Bears  can&#39;t reports  !go $TSLA!',None
None,b'$TSLA Tesla: China Is a Huge Risk but a Bigger Opportunity https://www.smarteranalyst.com/2017/04/21/tesla-inc-tsla-china-huge-risk-bigger-opportunity/',Bullish
Bullish,b'Other cos recall when forced by deaths or gov etc $TSLA recalls while no complains# no incidents# not even safety related. Amazing company!',Bearish
None,b'$TSLA sorry I can&#39;t be my good old cheery self everyone# I got suspended so I will be a much more tamer clanky',None
Bearish,b'$TSLA Amazing..... really 0 effect??',None
Bullish,b'$TSLA Death to bears!',None
Bullish,b'$TSLA shortville is f*cked',None
None,b'$TSLA flying cars ? https://www.youtube.com/watch?v=r7cN6Q2lqAw',None
Bullish,b'$TSLA Clanky blocked me. But can someone tell me from 1-10 how cranky he is. (10 beinga very cranky Clanky)',None
None,b'$TSLA 304.52 was tenkansen. retested to the penny then dumped a dollar so far',None
Bearish,b'$TSLA SEC asleep at the switch# this is such a manipulated stock.',Bearish
None,b'$TSLA lol ... you&#39;re such a comedian. love it!',None
None,b'$TSLA - expect this ought to start chopping any minute now to begin prepping for the Monday morning pop!',None
None,b'$TSLA break out after 3 years of consolidation',Bearish
None,b'$TSLA beautiful bull trap.',Bullish
Bullish,b'$TSLA big surprise @ER will put this babe well above $325!! Mark this post!',None
None,b'$TSLA',None
Bullish,b'$TSLA Hahahhaha!',None
None,b'$TSLA the only way to keep your sanity in this stock is to be long PUTs and long STOCK and adjust your position regularly...',None
None,b'$TSLA chinese can now buy $TSLA stock with bitcoins $BTC for as low as $10...',None
Bearish,b'$TSLA This stock is one of the most overpriced overhype&#39;s tulip stocks on the market',None
None,b'$TSLA short term bullish',None
Bearish,b'$TSLA 304 for what? Missed promises# vague truck ideas and massive recalls?',Bearish
None,b'$TSLA over 304 - about to rocket!',None
Bearish,b'$TSLA aand down we go ( take 2 ) -&gt;',None
Bullish,b'$TSLA keep shorting!! ahaha',None
None,b'$TSLA it&#39;s amusing to see the moon man cult followers and the bears go at it in here.',None
None,b'$TSLA go go go... I need to recoup some money on my PUTs!',None
None,b'$TSLA',None
None,b'$TSLA Nasdaq green now!',None
Bullish,b'$TSLA it&#39;s 304 so far# let&#39;s see how high we gooo',None
Bearish,b'$TSLA Promises 100MW to Australia or for free... Would any shareholder underwrite such BS?',None
None,b'$TSLA missed my entry by 7 cents# twice. So pissed',Bearish
Bullish,b'$TSLA Let&#39;s grill the dead bears!',None
None,b'$TSLA LOL you are lagging...',Bearish
None,b'$TSLA in 50 weekly 305P at 2.03/contract',None
Bearish,b'$TSLA Musk to award himself $1.4B in stock option# LOL# more dilution.',None
None,b'$TSLA great time for some weekly puts',Bullish
Bearish,b'$TSLA aand down we go -&gt;',None
Bullish,b'$TSLA 306',None
Bullish,b'$TSLA you&#39;re buying this at a severe discount when you compare it in 5years @ $3000.. stay long man n don&#39;t get caught in the small hiccups',Bearish
Bearish,b'$TSLA It&#39;s all emotion and no substance. It&#39;s time a professional board steps in# great product but too much hype for me...',Bullish
Bearish,b'$TSLA Broken pos. Company had problem after problem but market keeps pushing this up. It&#39;s basically robbery',Bearish
Bearish,b'$TSLA model 3 unveil in July and mass production in September? Is it a joke?',None
None,b'$TSLA where is the pin today?  300 or 305?',None
None,b'$TSLA dont die',None
Bullish,b'$TSLA weeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee',None
Bullish,b'$TSLA Elon opened sourced his EV technology. Why? he is helping others to follow him. Clean the air# no more tailpipes.# no more ICE',None
Bullish,b'$TSLA all the way to $350!',None
Bullish,b'$TSLA alright# here we go ????',None
None,b'$TSLA told ya!',None
Bullish,b'$TSLA here weeeeeeeeeee gooo!!!',None
Bullish,b'$TSLA',None
Bullish,b'$TSLA 350',None
Bullish,b'$TSLA John Persons PPS up arrow on 15 minute',None
Bearish,b'$TSLA Tesla Model 3 recall (remember# no beta testing): 500k cars# no dealership network# no cash to cover... Bankruptcy?',Bearish
None,b'$TSLA Ive seen these candles before - looks like it&#39;s setting up for a squeeze.... flagging and $SPY might take back 235.2',None
Bearish,b'$TSLA sell-off in 5 minutes',None
None,b'$TSLA $GS are you serious?',Bearish
None,b'$TSLA Loving this volatility',Bearish
Bullish,b'$TSLA doesn&#39;t look like this is going below 300 before earnings. Might switch sides here. GL!',None
None,b'$NFLX $tsla geez# my entire list is red except these two.  Note both bubble stocks.',None
Bullish,b'$TSLA  $315 next week!',None
None,b'$TSLA Musk is strong# no doubt....but he has crossed $GS and there is no way to recover from that in the long run...',None
Bearish,b'$TSLA sell-off in 8 minutes',None
Bullish,b'$TSLA People who shorts this stock must be  really brave. I would not want to bet against Musk.',Bearish
None,b'$TSLA is over valuations# stock price makes up too much; it needs to be adjusted.',None
Bullish,b'$TSLA Teslas Motto is &quot;Lean Green Fighting Machine&quot; for both stock and car',None
Bullish,b'$TSLA who cares if the brakes don&#39;t work.Easy money',Bullish
None,b'$TSLA it is not going anywhere# we are just wasting our time',Bearish
Bullish,b'$TSLA Nothing has changed; In fact we caught and acted on something proactively and are seizing all kinds of new markets - GROWTH CROWTH',None
None,b'$TSLA will now trade above vwaps for the rest of the day (with some small dips below it to get stops) ...',Bearish
None,b'$TSLA held in suspense by monthly options expiry... reloading with next weeks PUTs...',None
Bullish,b'$TSLA Bears can&#39;t wait to cover over $310',None
Bullish,b'$FB North Korea to drop another bomb# but the real world disaster? Instagram is down around the world! heheh https://techcrunch.com/2017/04/24/instagram-down/',Bearish
None,b'$FB WhatsApp Nearly as Popular as Facebook in Spain https://www.emarketer.com/Article/WhatsApp-Nearly-Popular-Facebook-Spain/1015743 That&#39;s just AWESOME. Now wake me up when WhatApp makes money.TIA',Bullish
Bullish,b'$FB FB should maybe beef up regulations on riske FB Live posts but THEY ARE NOT LIABLE FOR HUMAN VIOLENCE#HATRED. FB a mirror of humanity!',Bearish
Bullish,b'$FB A new way to spread the word of God FB Live! https://www.reviewjournal.com/business/facebook-live-exhibit-at-nab-draws-interest-from-churches/ Those who want to out themselves or someone else# go here first.',None
Bullish,b'$FB Risk of depression using FB? The only depression I&#39;ve suffered is when i&#39;ve sold shares too early! https://seekingalpha.com/article/4064521-rising-risks-facebook Get a life!',Bearish
Bullish,b'$FB It&#39;s so funny that as FB&#39;s price increases more negative artcles emerge doubting FB&#39;s &quot;ambitious&quot; plans for this or that. So transparent',Bearish
None,b'$FB one day FB will be a penny stock!!',None
None,b'ChartGuys Technical Analysis Video 4/24/2017\n\nhttp://scalpthatstock.com/xlk-aapl-fb-technical-analysis-chart-4242017/\n\n$XLK $AAPL $FB',None
Bullish,b'$FB GOOG &amp; FB monopolies! ? http://www.cnbc.com/2017/04/24/alphabet-google-is-a-monopoly-says-jonathan-taplin.html?amp%3Bdoc=104423040&amp;amp%3Bpar=yahoo&amp;amp%3Byptr=yahoo Glad to remember MSFT getting raked over the coals for this too.Ultimately Meaningless.',Bearish
Bullish,b'$FB Hey POTUS# you just keep building that wall o&#39; worry and we&#39;ll be fine. It will more than pay for itself as the market rallies!',Bearish
Bullish,b'$FB When all these companies are monetized to their fullest initial potential I&#39;ll cash out if some FB shares.',None
None,b'Derisking Twitter https://seekingalpha.com/article/4064795-derisking-twitter?source=tweet $FB $GOOGL $SNAP $GOOG $TCEHY $MSFT $TWTR $SPY',None
Bullish,b'$FB 0??7?? trading days until touch down. We shall see! ?',None
None,b'$FB ?????? http://www.cnbc.com/2017/04/24/alphabet-google-is-a-monopoly-says-jonathan-taplin.html?amp%3Bdoc=104423040&amp;amp%3Bpar=yahoo&amp;amp%3Byptr=yahoo',Bearish
None,b'$FB Sheryl Sandberg: If We Grow Old# We Are Lucky https://www.yahoo.com/tv/sheryl-sandberg-grow-old-lucky-050634004.html via https://finzine.com',None
Bullish,b'$BBRY $AAPL $TWTR $TSLA $FB $NVDA $AMZN $GOOG $SP500 My fav stocks in my watchlist http://hubs.ly/H07cT3M0',None
None,b'$NFLX# $FB# $AMZN# $GOOG# $CMCSA# $VZ# $T FCC chairman expected to reveal net neutrality plans Wednesday# WSJ says http://on.wsj.com/2pYQl1M',None
None,b'$SPY $AAPL $GOOG $NFLX $FB $BAC $JPM $GS $NVDA no N. Korea nuke test today. Market rallying again!',None
None,b'$BBRY $AAPL $TWTR $SNAP $TSLA $FB $NVDA $AMZN $GOOG $SP500 Trump Tax Reform Plan \x96 It\x92s not all glitter &amp; US Market http://hubs.ly/H07cT3M0',None
None,b'$GOOG $FB $AMZN  yrs ago people held stocks for 6 yrs. now it&#39;s 6 months. Allows me to pick up shares when people panic which is every week',Bearish
Bearish,b'$SPY is 25% tariff on Canadian lumber accurate? $xiv $uvxy $fb',None
None,b'Everyone goes about publicly traded stock. What about private equity companies traded on NYSE?https://business-piece.com/2017/02/24/private-equity-review-and-outlook-for-2017/ $UBER $VRX $FB $DB $T',None
None,b'$GOOGL $FB not about all time high# bout where they are going',None
Bullish,b'$FB like to see $160 when ER is announced',None
None,b'What happens to stocks after an all time high...\nhttp://apbideas.blogspot.com\n$QQQ $FB $GOOGL $MSFT $PCLN',None
None,b'Pew: The Future of Free Speech# Trolls# Anonymity and Fake News Online - http://www.pewinternet.org/2017/03/29/the-future-of-free-speech-trolls-anonymity-and-fake-news-online/ - $FB $GOOG $TWTR $SNAP $MSFT $AAPL',None
None,b'$FB $GOOGL true true',None
None,b'Market Commentary For Tue# Apr 25 $XOM# $TSLA# $BAC# $APC# $SPY# $FB# $GLD# $GS# $XLE# $IBM# $AAPL# $GDX# $XLF# $BA http://crweworld.com/article/finance/70006/the-moskowitz-report-xom-tsla-bac-apc-spy-fb-gld-googl-gs-xle-amzn-ibm-aapl-gdx-xlf-ba-nflx-jpm-stock-market-commentary-for-tuesday-april-25-2017',None
None,b'Another Election passes and Stocks jump Higher http://bigwavetrading.com/35996/another-election-passes-and-stocks-jump-higher/ $VIX $NDX $COMPQ $AMZN $GOOGL $FB $AAPL $FED $XLF',None
None,b'$FB 185 xmas',None
None,b'Cheap put options and hedges: $NFLX puts cheaper than 100% of history# $BIDU 100%# $IWM 100%# $YHOO 100%# $VLO 100%# $GLD 100%# $FB 100%',None
Bearish,b'$BBRY ...KiK# $FB $SNAP all killing BBM. $VMW Airwatch killing their mobile security &amp; management s/w. No phone h/w. What&#39;s left?',None
None,b'Are my eyes deceiving me or does $FB have a great technical rating? Take a look yourself on http://stockcharts.chartmill.com/u/HJr_N4h0x',None
None,b'Tuesday&#39;s Watch Part 1: $AMD $SPY $CYTR $FB $OPTT $PTX $AKS $TSLA $PLUG $VRX $HAS $CARA #leggo StayGreen ???',None
None,b'@LYogi Distressed today# buy low... or future shaky as past. $BBRY Patents good# but competition execute better. $AAPL $GOOGL $VMW $FB etc.',Bullish
None,b'$FB a traders day tarww to make about 60 cents.  Then back up by Thursday.',None
Bearish,b'$FB $420 Billion Market cap??? LOL!!',None
None,b'$FB don&#39;t see much more upside. Price is built into earnings',None
None,b'$FB',None
None,b'$AAPL $FB there has never been a bad price to enter long and hold.',Bearish
None,b'$MSFT Interesting...only 37000 or so watchers for $MSFT and over 80000 watchers for $FB.....',None
None,b'$FB $150 then a nice clean 3 way split',None
None,b'$FB Cowen &amp; Company reiterates Outperform rating# $156 PT https://stocknews.com/news/fb-cowen-company-reiterates-outperform-rating-156-pt/',Bullish
None,b'VIDEO: $XLK $AAPL $FB Technical Analysis Chart 4/24/2017 https://chartguys.com/tickers/aapl #markets #NASDAQ #NYSE #technicalanalysis #daytrader',None
None,b'Facebook&#39;s outperform rating reiterated at Cowen and Company. $156.00 PT. http://www.marketbeat.com/r/807193 $FB',Bullish
None,b'Unusual Options Activity - 04.24.2017 - $CMA $CPN $AA $HD $EMN $SBUX $NEM $MCD $JPM $FSLR $FB',None
None,b'There&#39;s a cooler $SNAP in town. http://www.businessinsider.com/faceapp-how-to-use-the-popular-face-changing-app-photos-2017-4  Alas# still just a trend. $FB IS 4evah!! $SPY',Bullish
None,b'$FB would be nice but not likely ER already baked in unless major surprise flat to downward movement.',Bearish
None,b'$FB \nThis goes up 10% after ER overnight.',None
Bullish,b'$FB Every Q the same BS and every Q it wiggles a bit then rebounds. Long term investors need only apply. FB WINS ?',None
Bullish,b'@Isildur1 Wink Wink ?or should I say Slim. $AAPL# $FB. Thanks for the bearish post ? after ER report',None
None,b'$FB If you&#39;re bullish Facebook and trade calls# please know this http://bit.ly/FB_calls',None
Bullish,b'$FB posted this watchlist/play here back in Feb. congrats to my followers! We killed it again?',None
Bearish,b'$AAPL $fb Seems they overly hyped the markets today....$UVXY bounce tomorrow and we sell off tomorrow',None
Bullish,b'$AAPL $FB missed slim in both the boards today',Bearish
Bullish,b'$AAPL $FB momentum confirmed. Decent volume on broad market rise.  See you at 150.',None
None,b'Here are all the new products Facebook announced at F8: https://www.recode.net/2017/4/18/15347640/facebook-f8-products-recap-day-one-ar $FB',None
None,b'All time HIGH $XLK :) $NFLX $FB $TWTR $AAPL $TSLA $GOOG $AMZN $SNAP $FB $TWTR Todays Live Trades https://youtu.be/pmlYw5Em1aI',None
None,b'$FB Alphabet and Facebook have to be regulated or they&#39;ll &#39;crush&#39; small players like... http://www.cnbc.com/id/104423040?__source=yahoo%7Cfinance%7Cheadline%7Cheadline%7Cstory&amp;par=yahoo&amp;doc=104423040&amp;yptr=yahoo via https://finzine.com',None
None,b'Shea Moisture hair line company apologizes in ad dust up $FB https://www.marketbeat.com/n/3650326/',None
Bearish,b'$AAPL $fb Looking for a pullback tomorrow',None
None,b'$GOOG $GOOGL $FB $PCLN $AMZN $NFLX Internet category back to the #1 spot in our POWR rating system - https://stocknews.com/category/internet/',None
None,b'$FB if it&#39;s going to 150 what&#39;s wrong with right here?',Bearish
None,b'$FB',None
Bullish,b'New 52-Week Highs 4 24 2017\n\nhttp://scalpthatstock.com/new-52-week-highs-4-24-2017/\n\n$MSFT $EFA $QQQ $SAN $CMCSA $WFM $FEZ $BSX $FB $BABA',None
None,b'$FB market capitalization compared to $TWTR https://stockrow.com/share/80dc10a9cf5fde2c405f295f3790cc52',None
None,b'$AAPL $fb I have been a long term bull but short term bear. My May puts got stopped out. Gave back everything I made 2 weeks ago.',Bearish
None,b'$FB what&#39;s a good price to add more 140?',Bullish
None,b'$NFLX $AAPL $FB which one is more likely to touch 200 first? ?',None
None,b'$FB has a great technical rating! Check out it&#39;s strong points at http://stockcharts.chartmill.com/u/rJ-Sle2Ce',Bullish
None,b'$FB Loop Capital reiterates Buy rating# $175 PT https://stocknews.com/news/fb-loop-capital-reiterates-buy-rating-175-pt-48034931/',None
None,b'T3 Live Daily Recap - Stocks Soar on French Election\n\nhttp://scalpthatstock.com/daily-recap-stocks-soar-on-french-election/\n\n$SPX $IWM $QQQ $GOOGL $AMZN $FB $BABA $BIDU $TSLA',None
Bullish,b'$FB Hate the products and dislike Zuckerman injecting his politics  but love the stock. Holding 4ever.',None
None,b'$AAOI Same with $FB . keep average in for LT. Optical will be a great sector to invest for a long long time.',Bullish
None,b'$AAOI Be patient. $50 level? hold LT and will be 70 80 level. See MY $FB # I have been saying for 2 yrs# buy FB and sleep well. Keep adding',None
Bullish,b'$FB \n\nWhere&#39;s slim trady?',None
Bullish,b'@HollywoodSqueeze losers and pedophiles use $FB and instagram',None
Bullish,b'$FB quietly making all-time highs almost daily it seems...',None
None,b'Bullish Gap Higher# Market Analysis $SPY $ES_F $GOOGL $FB $TMUS https://youtu.be/IDtRUk0HH5g',None
None,b'What Facebook&#39;s Brain-To-Text Project Would Do To The Economy# Tech Industry https://benzinga.com/z/9332941 $FB $SPY $XLK $QQQ',None
None,b'Record high days is back! ~ $QQQ $FB $GOOGL $PCLN $ADBE $MSFT $UVXY $TVIX ~ Market Recap   http://www.precisiontrade365.com/?p=21018',None
None,b'$SPY Central Banks are trying to see which one will become Majority Shareholder of $AAPL remember Swiss Central Bank Majority holder of $FB',None
None,b'Snapchat: What You Should And Shouldn&#39;t Believe https://seekingalpha.com/article/4064688?source=ansh $SNAP# $FB# $GOOGL# $TWTR# $GOOG',None
None,b'Facebook&#39;s buy rating reiterated at Loop Capital. $175.00 PT. http://www.marketbeat.com/r/807134 $FB',None
Bullish,b'$FB a little late to buy but a good hold right now',None
